Date,Video views,Profile views,Likes,Comments,Shares
2022-09-14,0,0,0,0,0
2022-09-15,0,0,0,0,0
2022-09-16,0,0,0,0,0
2022-09-17,0,0,0,0,0
2022-09-18,0,0,0,0,0
2022-09-19,2,0,0,0,0
2022-09-20,0,0,0,0,0
2022-09-21,0,0,0,0,0
2022-09-22,1,1,0,0,0
2022-09-23,0,0,0,0,0
2022-09-24,0,0,0,0,0
2022-09-25,0,0,0,0,0
2022-09-26,0,0,0,0,0
2022-09-27,0,0,0,0,0
2022-09-28,2,0,0,0,0
2022-09-29,0,0,0,0,0
2022-09-30,0,0,0,0,0
2022-10-01,2,1,0,0,0
2022-10-02,0,0,0,0,0
2022-10-03,1,0,0,0,0
2022-10-04,0,0,0,0,0
2022-10-05,1,0,0,0,0
2022-10-06,0,0,0,0,0
2022-10-07,0,0,0,0,0
2022-10-08,0,0,0,0,0
2022-10-09,0,0,0,0,0
2022-10-10,0,0,0,0,0
2022-10-11,1,0,0,0,0
2022-10-12,0,0,0,0,0
2022-10-13,0,0,0,0,0
2022-10-14,2,0,0,0,0
2022-10-15,0,0,0,0,0
2022-10-16,1,0,0,0,0
2022-10-17,2,0,0,0,0
2022-10-18,0,0,0,0,0
2022-10-19,4,1,0,0,0
2022-10-20,0,0,0,0,0
2022-10-21,1,0,0,0,0
2022-10-22,0,0,0,0,0
2022-10-23,0,0,0,0,0
2022-10-24,0,0,0,0,0
2022-10-25,1,0,0,0,0
2022-10-26,0,0,0,0,0
2022-10-27,0,0,0,0,0
2022-10-28,0,0,0,0,0
2022-10-29,0,0,0,0,0
2022-10-30,0,0,0,0,0
2022-10-31,0,0,0,0,0
2022-11-01,0,0,0,0,0
2022-11-02,0,0,0,0,0
2022-11-03,0,0,0,0,0
2022-11-04,0,0,0,0,0
2022-11-05,0,0,0,0,0
2022-11-06,0,0,0,0,0
2022-11-07,1,0,0,0,0
2022-11-08,0,0,0,0,0
2022-11-09,0,0,0,0,0
2022-11-10,2,0,0,0,0
2022-11-11,395,2,24,0,1
2022-11-12,468,1,147,0,1